Topic,Count,Name,Representation,Representative_Docs
9,49,9_editing_motion_video_video editing,"['editing', 'motion', 'video', 'video editing', 'diffusion', 'models', 'control', 'generation', 'diffusion models', 'consistency']","['monkey see monkey harnessing selfattention motion diffusion zeroshot motion transfer given remarkable results motion synthesis diffusion models natural question arises effectively leverage models motion editing existing diffusionbased motion editing methods overlook profound potential prior embedded within weights pretrained models enables manipulating latent feature space hence primarily center handling motion space work explore attention mechanism pretrained motion diffusion models uncover roles interactions attention elements capturing representing intricate human motion patterns carefully integrate elements transfer leader motion follower one maintaining nuanced characteristics follower resulting zeroshot motion transfer editing features associated selected motions allows us confront challenge observed prior motion diffusion approaches use general directives eg text music editing ultimately failing convey subtle nuances effectively work inspired monkey closely imitates sees maintaining unique motion patterns hence call monkey see monkey dub momo employing technique enables accomplishing tasks synthesizing outofdistribution motions style transfer spatial editing furthermore diffusion inversion seldom employed motions result editing efforts focus generated motions limiting editability real ones momo harnesses motion inversion extending application real generated motions experimental results show advantage approach current art particular unlike methods tailored specific applications training approach applied inference time requiring training webpage httpsmonkeyseedocggithubio', 'freemask rethinking importance attention masks zeroshot video editing texttovideo diffusion models made remarkable advancements driven ability generate temporally coherent videos research zeroshot video editing using fundamental models expanded rapidly enhance editing quality structural controls frequently employed video editing among techniques crossattention mask control stands effectiveness efficiency however crossattention masks naively applied video editing introduce artifacts blurring flickering experiments uncover critical factor overlooked previous video editing research crossattention masks consistently clear vary model structure denoising timestep address issue propose metric mask matching cost mmc quantifies variability propose freemask method selecting optimal masks tailored specific video editing tasks using mmcselected masks improve masked fusion mechanism within comprehensive attention features eg temp cross selfattention modules approach seamlessly integrated existing zeroshot video editing frameworks better performance requiring control assistance parameter finetuning enabling adaptive decoupling unedited semantic layouts mask precision control extensive experiments demonstrate freemask achieves superior semantic fidelity temporal consistency editing quality compared stateoftheart methods', 'revideo remake video motion content control despite significant advancements video generation editing using diffusion models achieving accurate localized video editing remains substantial challenge additionally existing video editing methods primarily focus altering visual content limited research dedicated motion editing paper present novel attempt remake video revideo stands existing methods allowing precise video editing specific areas specification content motion content editing facilitated modifying first frame trajectorybased motion control offers intuitive user interaction experience revideo addresses new task involving coupling training imbalance content motion control tackle develop threestage training strategy progressively decouples two aspects coarse fine furthermore propose spatiotemporal adaptive fusion module integrate content motion control across various sampling steps spatial locations extensive experiments demonstrate revideo promising performance several accurate video editing applications ie locally changing video content keeping motion constant keeping content unchanged customizing new motion trajectories modifying content motion trajectories method also seamlessly extend applications multiarea editing without specific training demonstrating flexibility robustness']"
10,31,10_video_evaluation_models_ai,"['video', 'evaluation', 'models', 'ai', 'generation', 'video generation', 'sora', 'comprehensive', 'content', 'future']","['video worth thousand images exploring latest trends long video generation image may convey thousand words video composed hundreds thousands image frames tells intricate story despite significant progress multimodal large language models mllms generating extended videos remains formidable challenge writing openais sora current stateoftheart system still limited producing videos one minute length limitation stems complexity long video generation requires generative ai techniques approximating density functions essential aspects planning story development maintaining spatial temporal consistency present additional hurdles integrating generative ai divideandconquer approach could improve scalability longer videos offering greater control survey examine current landscape long video generation covering foundational techniques like gans diffusion models video generation strategies largescale training datasets quality metrics evaluating long videos future research areas address limitations existing video generation capabilities believe would serve comprehensive foundation offering extensive information guide future advancements research field long video generation', 'comprehensive survey human video generation challenges methods insights human video generation dynamic rapidly evolving task aims synthesize human body video sequences generative models given control conditions text audio pose potential wideranging applications film gaming virtual communication ability generate natural realistic human video critical recent advancements generative models laid solid foundation growing interest area despite significant progress task human video generation remains challenging due consistency characters complexity human motion difficulties relationship environment survey provides comprehensive review current state human video generation marking best knowledge first extensive literature review domain start introduction fundamentals human video generation evolution generative models facilitated fields growth examine main methods employed three key subtasks within human video generation textdriven audiodriven posedriven motion generation areas explored concerning conditions guide generation process furthermore offer collection commonly utilized datasets evaluation metrics crucial assessing quality realism generated videos survey concludes discussion current challenges field suggests possible directions future research goal survey offer research community clear holistic view advancements human video generation highlighting milestones achieved challenges lie ahead', 'vbench comprehensive versatile benchmark suite video generative models video generation witnessed significant advancements yet evaluating models remains challenge comprehensive evaluation benchmark video generation indispensable two reasons existing metrics fully align human perceptions ideal evaluation system provide insights inform future developments video generation end present vbench comprehensive benchmark suite dissects video generation quality specific hierarchical disentangled dimensions tailored prompts evaluation methods vbench several appealing properties comprehensive dimensions vbench comprises dimensions video generation eg subject identity inconsistency motion smoothness temporal flickering spatial relationship etc evaluation metrics finegrained levels reveal individual models strengths weaknesses human alignment also provide dataset human preference annotations validate benchmarks alignment human perception evaluation dimension respectively valuable insights look current models ability across various evaluation dimensions various content types also investigate gaps video image generation models versatile benchmarking vbench supports evaluating texttovideo imagetovideo introduce highquality image suite adaptive aspect ratio enable fair evaluations across different imagetovideo generation settings beyond assessing technical quality vbench evaluates trustworthiness video generative models providing holistic view model performance full opensourcing fully opensource vbench continually add new video generation models leaderboard drive forward field video generation']"
11,30,11_video_generation_diffusion_video generation,"['video', 'generation', 'diffusion', 'video generation', 'videos', 'temporal', 'models', 'model', 'tryon', 'quality']","['fashionvdm video diffusion model virtual tryon present fashionvdm video diffusion model vdm generating virtual tryon videos given input garment image person video method aims generate highquality tryon video person wearing given garment preserving persons identity motion imagebased virtual tryon shown impressive results however existing video virtual tryon vvt methods still lacking garment details temporal consistency address issues propose diffusionbased architecture video virtual tryon split classifierfree guidance increased control conditioning inputs progressive temporal training strategy singlepass video generation also demonstrate effectiveness joint imagevideo training video tryon especially video data limited qualitative quantitative experiments show approach sets new stateoftheart video virtual tryon additional results visit project page httpsjohannakarrasgithubiofashionvdm', 'redefining temporal modeling video diffusion vectorized timestep approach diffusion models revolutionized image generation extension video generation shown promise however current video diffusion modelsvdms rely scalar timestep variable applied clip level limits ability model complex temporal dependencies needed various tasks like imagetovideo generation address limitation propose frameaware video diffusion modelfvdm introduces novel vectorized timestep variablevtv unlike conventional vdms approach allows frame follow independent noise schedule enhancing models capacity capture finegrained temporal dependencies fvdms flexibility demonstrated across multiple tasks including standard video generation imagetovideo generation video interpolation long video synthesis diverse set vtv configurations achieve superior quality generated videos overcoming challenges catastrophic forgetting finetuning limited generalizability zeroshot methodsour empirical evaluations show fvdm outperforms stateoftheart methods video generation quality also excelling extended tasks addressing fundamental shortcomings existing vdms fvdm sets new paradigm video synthesis offering robust framework significant implications generative modeling multimedia applications', 'pemfvto pointenhanced video virtual tryon via maskfree paradigm video virtual tryon aims seamlessly transfer reference garment onto target person video preserving visual fidelity temporal coherence existing methods typically rely inpainting masks define tryon area enabling accurate garment transfer simple scenes eg inshop videos however maskbased approaches struggle complex realworld scenarios overly large inconsistent masks often destroy spatialtemporal information leading distorted results maskfree methods alleviate issue face challenges accurately determining tryon area especially videos dynamic body movements address limitations propose pemfvto novel pointenhanced maskfree video virtual tryon framework leverages sparse point alignments explicitly guide garment transfer key innovation introduction pointenhanced guidance provides flexible reliable control spatiallevel garment transfer temporallevel video coherence specifically design pointenhanced transformer pet two core components pointenhanced spatial attention psa uses framecloth point alignments precisely guide garment transfer pointenhanced temporal attention pta leverages frameframe point correspondences enhance temporal coherence ensure smooth transitions across frames extensive experiments demonstrate pemfvto outperforms stateoftheart methods generating natural coherent visually appealing tryon videos particularly challenging inthewild scenarios link papers homepage httpspemfvtogithubio']"
12,29,12_quality_assessment_quality assessment_video quality,"['quality', 'assessment', 'quality assessment', 'video quality', 'video quality assessment', 'video', 'ugc', 'vqa', 'content', 'videos']","['finevq finegrained user generated content video quality assessment rapid growth usergenerated content ugc videos produced urgent need effective video quality assessment vqa algorithms monitor video quality guide optimization recommendation procedures however current vqa models generally give overall rating ugc video lacks finegrained labels serving video processing recommendation applications address challenges promote development ugc videos establish first largescale finegrained video quality assessment database termed finevd comprises ugc videos finegrained quality scores descriptions across multiple dimensions based database propose finegrained video quality assessment finevq model learn finegrained quality ugc videos capabilities quality rating quality scoring quality attribution extensive experimental results demonstrate proposed finevq produce finegrained videoquality results achieve stateoftheart performance finevd commonly used ugcvqa datasets finevd finevq made publicly available', 'benchmarking multidimensional aigc video quality assessment dataset unified model recent years artificial intelligence aidriven video generation gained significant attention consequently growing need accurate video quality assessment vqa metrics evaluate perceptual quality aigenerated content aigc videos optimize video generation models however assessing quality aigc videos remains significant challenge videos often exhibit highly complex distortions unnatural actions irrational objects address challenge systematically investigate aigcvqa problem considering subjective objective quality assessment perspectives subjective perspective construct largescale generated video quality assessment lgvq dataset consisting aigc videos generated video generation models using carefully curated text prompts evaluate perceptual quality aigc videos three critical dimensions spatial quality temporal quality textvideo alignment objective perspective establish benchmark evaluating existing quality assessment metrics lgvq dataset findings show current metrics perform poorly dataset highlighting gap effective evaluation tools bridge gap propose unify generated video quality assessment ugvq model designed accurately evaluate multidimensional quality aigc videos ugvq model integrates visual motion features videos textual features corresponding prompts forming unified qualityaware feature representation tailored aigc videos experimental results demonstrate ugvq achieves stateoftheart performance lgvq dataset across three quality dimensions lgvq dataset ugvq model publicly available httpsgithubcomzczhangsjtuugvqgit', 'perceptual video quality assessment survey perceptual video quality assessment plays vital role field video processing due existence quality degradations introduced various stages video signal acquisition compression transmission display advancement internet communication cloud service technology video content traffic growing exponentially emphasizes requirement accurate rapid assessment video quality therefore numerous subjective objective video quality assessment studies conducted past two decades generic videos specific videos streaming usergenerated content ugc virtual augmented reality vr ar high frame rate hfr audiovisual etc survey provides uptodate comprehensive review video quality assessment studies specifically first review subjective video quality assessment methodologies databases necessary validating performance video quality metrics second objective video quality assessment algorithms general purposes surveyed concluded according methodologies utilized quality measures third overview objective video quality assessment measures specific applications emerging topics finally performances stateoftheart video quality assessment measures compared analyzed survey provides systematic overview classical works recent progresses realm video quality assessment help researchers quickly access field conduct relevant research']"
13,26,13_diffusion_models_image_diffusion models,"['diffusion', 'models', 'image', 'diffusion models', 'generative', 'model', 'data', 'noise', 'images', 'sampling']","['gaussian need unified framework solving inverse problems via diffusion posterior sampling diffusion models generate variety highquality images modeling complex data distributions trained diffusion models also effective image priors solving inverse problems existing diffusionbased methods integrate data consistency steps within diffusion reverse sampling process data consistency steps rely approximate likelihood function paper show existing approximations either insufficient computationally inefficient address issues propose unified likelihood approximation method incorporates covariance correction term enhance performance avoids propagating gradients diffusion model correction term integrated reverse diffusion sampling process achieves better convergence towards true data posterior selected distributions improves performance realworld natural image datasets furthermore present efficient way factorize invert covariance matrix likelihood function several inverse problems present comprehensive experiments demonstrate effectiveness method several existing approaches', 'sequential posterior sampling diffusion models diffusion models quickly risen popularity ability model complex distributions perform effective posterior sampling unfortunately iterative nature generative models makes computationally expensive unsuitable realtime sequential inverse problems ultrasound imaging considering strong temporal structure across sequences frames propose novel approach models transition dynamics improve efficiency sequential diffusion posterior sampling conditional image synthesis modeling sequence data using video vision transformer vivit transition model based previous diffusion outputs initialize reverse diffusion trajectory lower noise scale greatly reducing number iterations required convergence demonstrate effectiveness approach realworld dataset high frame rate cardiac ultrasound images show achieves performance full diffusion trajectory accelerating inference enabling realtime posterior sampling furthermore show addition transition model improves psnr cases severe motion method opens new possibilities realtime applications diffusion models imaging domains requiring realtime inference', 'advancing diffusion models aliasfree resampling enhanced rotational equivariance recent advances image generation particularly via diffusion models led impressive improvements image synthesis quality despite diffusion models still challenged modelinduced artifacts limited stability image fidelity work hypothesize primary cause issue improper resampling operation introduces aliasing diffusion model careful aliasfree resampling dictated image processing theory improve models performance image synthesis propose integration aliasfree resampling layers unet architecture diffusion models without adding extra trainable parameters thereby maintaining computational efficiency assess whether theorydriven modifications enhance image quality rotational equivariance experimental results benchmark datasets including mnist mnistm reveal consistent gains image quality particularly terms fid kid scores furthermore propose modified diffusion process enables usercontrolled rotation generated images without requiring additional training findings highlight potential theorydriven enhancements aliasfree resampling generative models improve image quality maintaining model efficiency pioneer future research directions incorporate videogenerating diffusion models enabling deeper exploration applications aliasfree resampling generative modeling']"
14,17,14_data_images_estimation_synthesis,"['data', 'images', 'estimation', 'synthesis', 'image', 'ir', 'method', 'sensing', 'cloud', 'conditions']","['electrooptical image synthesis sar imagery using generative adversarial networks utility synthetic aperture radar sar imagery remote sensing satellite image analysis well established offering robustness various weather lighting conditions however sar images characterized unique structural texture characteristics often pose interpretability challenges analysts accustomed electrooptical eo imagery application compares stateoftheart generative adversarial networks gans including cyclegan scyclegan novel dualgenerator gan utilizing partial convolutions novel dualgenerator architecture utilizing transformers models designed progressively refine realism translated optical images thereby enhancing visual interpretability sar data demonstrate efficacy approach qualitative quantitative evaluations comparing synthesized eo images actual eo images terms visual fidelity feature preservation results show significant improvements interpretability making sar data accessible analysts familiar eo imagery furthermore explore potential technology various applications including environmental monitoring urban planning military reconnaissance rapid accurate interpretation sar data crucial research contributes field remote sensing bridging gap sar eo imagery offering novel tool enhanced data interpretation broader application sar technology various domains', 'sustechgan image generation object detection adverse conditions autonomous driving autonomous driving significantly benefits datadriven deep neural networks however data autonomous driving typically fits longtailed distribution critical driving data adverse conditions hard collect although generative adversarial networks gans applied augment data autonomous driving generating driving images adverse conditions still challenging work propose novel framework sustechgan customized dual attention modules multiscale generators novel loss function generate driving images improving object detection autonomous driving adverse conditions test sustechgan wellknown gans generate driving images adverse conditions rain night apply generated images retrain object detection networks specifically add generated images training datasets retrain wellknown evaluate improvement retrained object detection adverse conditions experimental results show generated driving images sustechgan significantly improved performance retrained rain night conditions outperforms wellknown gans opensource code video description datasets available page facilitate image generation development autonomous driving adverse conditions', 'pgcs physical law embedded generative cloud synthesis remote sensing images data quantity quality critical information extraction analyzation remote sensing however current remote sensing datasets often fail meet two requirements cloud primary factor degrading data quantity quality limitation affects precision results remote sensing application particularly derived datadriven techniques paper physical law embedded generative cloud synthesis method pgcs proposed generate diverse realistic cloud images enhance real data promote development algorithms subsequent tasks cloud correction cloud detection data augmentation classification recognition segmentation pgcs method involves two key phases spatial synthesis spectral synthesis spatial synthesis phase stylebased generative adversarial network utilized simulate spatial characteristics generating infinite number singlechannel clouds spectral synthesis phase atmospheric scattering law embedded local statistics global fitting method converting singlechannel clouds multispectral clouds experimental results demonstrate pgcs achieves high accuracy phases performs better three existing cloud synthesis methods two cloud correction methods developed pgcs exhibits superior performance compared stateoftheart methods cloud correction task furthermore application pgcs data various sensors investigated successfully extended code provided httpsgithubcomliyingxupgcs']"
15,16,15_editing_video_generation_agent,"['editing', 'video', 'generation', 'agent', 'users', 'multimodal', 'user', 'videos', 'video generation', 'language']","['raccoon versatile instructional video editing framework autogenerated narratives recent video generative models primarily rely carefully written text prompts specific tasks like inpainting style editing require laborintensive textual descriptions input videos hindering flexibility adapt personalraw videos user specifications paper proposes raccoon versatile userfriendly videotoparagraphtovideo generative framework supports multiple video editing capabilities removal addition modification unified pipeline raccoon consists two principal stages videotoparagraph paragraphtovideo stage automatically describe video scenes wellstructured natural language capturing holistic context focused object details subsequently stage users optionally refine descriptions guide video diffusion model enabling various modifications input video removing changing subjects andor adding new objects proposed approach stands methods several significant contributions raccoon suggests multigranular spatiotemporal pooling strategy generate wellstructured video descriptions capturing broad context object details without requiring complex human annotations simplifying precise video content editing based text users video generative model incorporates autogenerated narratives instructions enhance quality accuracy generated content raccoon also plans imagine new objects given video users simply prompt model receive detailed video editing plan complex video editing proposed framework demonstrates impressive versatile capabilities videotoparagraph generation video content editing incorporated sota video generative models enhancement', 'expressedit video editing natural language sketching informational videos serve crucial source explaining conceptual procedural knowledge novices experts alike producing informational videos editors edit videos overlaying textimages trimming footage enhance video quality make engaging however video editing difficult timeconsuming especially novice video editors often struggle expressing implementing editing ideas address challenge first explored multimodalitynatural language nl sketching natural modalities humans use expressioncan utilized support video editors expressing video editing ideas gathered multimodal expressions editing commands video editors revealed patterns use nl sketching describing edit intents based findings present expressedit system enables editing videos via nl text sketching video frame powered llm vision models system interprets temporal spatial operational references nl command spatial references sketching system implements interpreted edits user iterate observational study showed expressedit enhanced ability novice video editors express implement edit ideas system allowed participants perform edits efficiently generate ideas generating edits based users multimodal edit commands supporting iterations editing commands work offers insights design future multimodal interfaces aibased pipelines video editing', 'spagent adaptive task decomposition model selection general video generation editing opensource video generation editing models made significant progress individual models typically limited specific tasks failing meet diverse needs users effectively coordinating models unlock wide range video generation editing capabilities however manual coordination complex timeconsuming requiring users deeply understand task requirements possess comprehensive knowledge models performance applicability limitations thereby increasing barrier entry address challenges propose novel video generation editing system powered semantic planning agent spagent spagent bridges gap diverse user intents effective utilization existing generative models enhancing adaptability efficiency overall quality video generation editing specifically spagent assembles tool library integrating stateoftheart opensource image video generation editing models tools finetuning manually annotated dataset spagent automatically coordinate tools video generation editing novelly designed threestep framework decoupled intent recognition principleguided route planning capabilitybased execution model selection additionally enhance spagents video quality evaluation capability enabling autonomously assess incorporate new video generation editing models tool library without human intervention experimental results demonstrate spagent effectively coordinates models generate edit videos highlighting versatility adaptability across various video tasks']"
16,16,16_driving_autonomous_autonomous driving_world,"['driving', 'autonomous', 'autonomous driving', 'world', 'driving videos', 'simulation', 'generation', 'video generation', 'world models', 'videos']","['world models effective data machines driving scene representation closedloop simulation essential advancing endtoend autonomous driving systems contemporary sensor simulation methods nerf rely predominantly conditions closely aligned training data distributions largely confined forwarddriving scenarios consequently methods face limitations rendering complex maneuvers eg lane change acceleration deceleration recent advancements autonomousdriving world models demonstrated potential generate diverse driving videos however approaches remain constrained video generation inherently lacking spatiotemporal coherence required capture intricacies dynamic driving environments paper introduce enhances driving scene representation leveraging world model priors specifically utilize world model data machine synthesize novel trajectory videos structured conditions explicitly leveraged control spatialtemporal consistency traffic elements besides cousin data training strategy proposed facilitate merging real synthetic data optimizing knowledge first utilize video generation models improving reconstruction driving scenarios experimental results reveal significantly enhances generation quality novel trajectory views achieving relative improvement fid compared pvg deformablegs moreover markedly enhances spatiotemporal coherence driving agents verified comprehensive user study relative increases ntaiou metric', 'exploring interplay video generation world models autonomous driving survey world models video generation pivotal technologies domain autonomous driving playing critical role enhancing robustness reliability autonomous systems world models simulate dynamics realworld environments video generation models produce realistic video sequences increasingly integrated improve situational awareness decisionmaking capabilities autonomous vehicles paper investigates relationship two technologies focusing structural parallels particularly diffusionbased models contribute accurate coherent simulations driving scenarios examine leading works jepa genie sora exemplify different approaches world model design thereby highlighting lack universally accepted definition world models diverse interpretations underscore fields evolving understanding world models optimized various autonomous driving tasks furthermore paper discusses key evaluation metrics employed domain chamfer distance scene reconstruction frechet inception distance fid assessing quality generated video content analyzing interplay video generation world models survey identifies critical challenges future research directions emphasizing potential technologies jointly advance performance autonomous driving systems findings presented paper aim provide comprehensive understanding integration video generation world models drive innovation development safer reliable autonomous vehicles', 'llmenhanced world models diverse driving video generation world models demonstrated superiority autonomous driving particularly generation multiview driving videos however significant challenges still exist generating customized driving videos paper propose builds upon framework drivedreamer incorporates large language model llm generate userdefined driving videos specifically llm interface initially incorporated convert users query agent trajectories subsequently hdmap adhering traffic regulations generated based trajectories ultimately propose unified multiview model enhance temporal spatial coherence generated driving videos first world model generate customized driving videos generate uncommon driving videos eg vehicles abruptly cut userfriendly manner besides experimental results demonstrate generated videos enhance training driving perception methods eg detection tracking furthermore video generation quality surpasses stateoftheart methods showcasing fid fvd scores representing relative improvements']"
17,13,17_gans_training_adversarial networks_adversarial,"['gans', 'training', 'adversarial networks', 'adversarial', 'gan', 'networks', 'images', 'generative adversarial', 'generative adversarial networks', 'generative']","['creative portraiture exploring creative adversarial networks conditional creative adversarial networks convolutional neural networks cnns combined generative adversarial networks gans create deep convolutional generative adversarial networks dcgans great success dcgans used generating images videos creative domains fashion design painting common critique use dcgans creative applications limited ability generate creative products generator simply learns copy training distribution explore extension dcgans creative adversarial networks cans using cans generate novel creative portraits using wikiart dataset train network moreover introduce extension cans conditional creative adversarial networks ccans demonstrate potential generate creative portraits conditioned style label argue generating products conditioned inspired style label closely emulates real creative processes humans produce imaginative work still rooted previous styles', 'mcgan enhancing gan training regressionbased generator loss generative adversarial networks gans emerged powerful tool generating highfidelity data however main bottleneck existing approaches lack supervision generator training often results undamped oscillation unsatisfactory performance address issue propose algorithm called monte carlo gan mcgan approach utilizing innovative generative loss function termly regression loss reformulates generator training regression task enables generator training minimizing mean squared error discriminators output real data expected discriminator fake data demonstrate desirable analytic properties regression loss including discriminability optimality show method requires weaker condition discriminator effective generator training properties justify strength approach improve training stability retaining optimality gan leveraging strong supervision regression loss extensive experiments diverse datasets including image data imagenet lsun bedroom time series data var stock data video data conducted demonstrate flexibility effectiveness proposed mcgan numerical results show proposed mcgan versatile enhancing variety backbone gan models achieves consistent significant improvement terms quality accuracy training stability learned latent space', 'early stopping criteria training generative adversarial networks biomedical imaging generative adversarial networks gans high computational costs train complex architectures throughout training process gans output analyzed qualitatively based loss synthetic images diversity quality based qualitative analysis training manually halted desired synthetic images generated utilizing early stopping criterion computational cost dependence manual oversight reduced yet impacted training problems mode collapse nonconvergence instability particularly prevalent biomedical imagery training problems degrade diversity quality synthetic images high computational cost associated training makes complex architectures increasingly inaccessible work proposes novel early stopping criteria quantitatively detect training problems halt training reduce computational costs associated synthesizing biomedical images firstly range generator discriminator loss values investigated assess whether mode collapse nonconvergence instability occur sequentially concurrently interchangeably throughout training gans secondly utilizing occurrences conjunction mean structural similarity index msssim frechet inception distance fid scores synthetic images forms basis proposed early stopping criteria work helps identify occurrence training problems gans using lowresource computational cost reduces training time generate diversified highquality synthetic images']"
18,13,18_motion_motions_scene_objects,"['motion', 'motions', 'scene', 'objects', 'human', 'human motion', 'object', 'generation', 'realistic', 'dynamics']","['physicsbased scene layout generation human motion creating scenes captured motions achieve realistic humanscene interaction crucial animation movies video games character motion often captured bluescreened studio without real furniture objects place may discrepancy planned motion captured one gives rise need automatic scene layout generation relieve burdens selecting positioning furniture objects previous approaches avoid artifacts like penetration floating due lack physical constraints furthermore heavily rely specific data learn contact affordances restricting generalization ability different motions work present physicsbased approach simultaneously optimizes scene layout generator simulates moving human physics simulator attain plausible realistic interaction motions method explicitly introduces physical constraints automatically recover generate scene layout minimize motion tracking errors identify objects afford interaction use reinforcement learning perform dualoptimization character motion imitation controller scene layout generator facilitate optimization reshape tracking rewards devise pose prior guidance obtained estimated pseudocontact labels evaluate method using motions samp prox demonstrate physically plausible scene layout reconstruction compared previous kinematicsbased method', 'motion dreamer boundary conditional motion reasoning physically coherent video generation recent advances video generation shown promise generating future scenarios critical planning control autonomous driving embodied intelligence however realworld applications demand visually plausible predictions require reasoning object motions based explicitly defined boundary conditions initial scene image partial object motion term capability boundary conditional motion reasoning current approaches either neglect explicit userdefined motion constraints producing physically inconsistent motions conversely demand complete motion inputs rarely available practice introduce motion dreamer twostage framework explicitly separates motion reasoning visual synthesis addressing limitations approach introduces instance flow sparsetodense motion representation enabling effective integration partial userdefined motions motion inpainting strategy robustly enable reasoning motions objects extensive experiments demonstrate motion dreamer significantly outperforms existing methods achieving superior motion plausibility visual realism thus bridging gap towards practical boundary conditional motion reasoning webpage available httpsenvisionresearchgithubiomotiondreamer', 'leveraging motion data boost motion generation textdriven human motion synthesis capturing significant attention ability effortlessly generate intricate movements abstract text cues showcasing potential revolutionizing motion design film narratives also virtual reality experiences computer game development existing methods often rely motion capture data require special setups resulting higher costs data acquisition ultimately limiting diversity scope human motion contrast human videos offer vast accessible source motion data covering wider range styles activities paper explore leveraging human motion extracted videos alternative data source improve textdriven motion generation approach introduces novel framework disentangles local joint motion global movements enabling efficient learning local motion priors data first train singleview local motion generator large dataset textmotion pairs enhance model synthesize motion finetune generator data transforming multiview generator predicts viewconsistent local joint motion root dynamics experiments dataset novel text prompts demonstrate method efficiently utilizes data supporting realistic human motion generation broadening range motion types supports code made publicly available']"
19,12,19_ffa_fundus_images_fluorescein,"['ffa', 'fundus', 'images', 'fluorescein', 'retinal', 'angiography', 'clinical', 'disease', 'fluorescein angiography', 'polyp']","['fundus fluorescein angiography video generation retinal generative foundation model fundus fluorescein angiography ffa crucial diagnosing monitoring retinal vascular issues limited invasive nature restricted accessibility compared color fundus cf imaging existing methods convert cf images ffa confined static image generation missing dynamic lesional changes introduce autoregressive generative adversarial network gan model generates dynamic ffa videos single cf images excels video generation achieving fvd psnr clinical experts validated fidelity generated videos additionally models generator demonstrates remarkable downstream transferability across ten external public datasets including blood vessel segmentation retinal disease diagnosis systemic disease prediction multimodal retrieval showcasing impressive zeroshot fewshot capabilities findings position powerful noninvasive alternative ffa exams versatile retinal generative foundation model captures static temporal retinal features enabling representation complex intermodality relationships', 'crossmodal angiography video generation static fundus photography clinical knowledge guidance fundus fluorescein angiography ffa critical tool assessing retinal vascular dynamics aiding diagnosis eye diseases however invasive nature less accessibility compared color fundus cf images pose significant challenges current cf ffa translation methods limited static generation work pioneer dynamic ffa video generation static cf images introduce autoregressive gan smooth memorysaving framebyframe ffa synthesis enhance focus dynamic lesion changes ffa regions design knowledge mask based clinical experience leveraging mask approach integrates innovative knowledge maskguided techniques including knowledgeboosted attention knowledgeaware discriminators maskenhanced patchnce loss aimed refining generation critical areas addressing pixel misalignment challenge method achieves best fvd psnr compared common video generation approaches human assessment ophthalmologist confirms high generation quality notably knowledge mask surpasses supervised lesion segmentation masks offering promising noninvasive alternative traditional ffa research clinical applications code available', 'noninvasive invasive enhancing ffa synthesis cfp benchmark dataset novel network fundus imaging pivotal tool ophthalmology different imaging modalities characterized specific advantages example fundus fluorescein angiography ffa uniquely provides detailed insights retinal vascular dynamics pathology surpassing color fundus photographs cfp detecting microvascular abnormalities perfusion status however conventional invasive ffa involves discomfort risks due fluorescein dye injection meaningful challenging synthesize ffa images noninvasive cfp previous studies primarily focused ffa synthesis single disease category work explore ffa synthesis multiple diseases devising diffusionguided generative adversarial network introduces adaptive dynamic diffusion forward process discriminator adds categoryaware representation enhancer moreover facilitate research collect first multidisease cfp ffa paired dataset named multidisease paired ocular synthesis mpos dataset four different fundus diseases experimental results show ffa synthesis network generate better ffa images compared stateoftheart methods furthermore introduce pairedmodal diagnostic network validate effectiveness synthetic ffa images diagnosis multiple fundus diseases results show synthesized ffa images real cfp images higher diagnosis accuracy compared ffa synthesizing methods research bridges gap noninvasive imaging ffa thereby offering promising prospects enhance ophthalmic diagnosis patient care focus reducing harm patients noninvasive procedures dataset code released support research field httpsgithubcomwhqxxhffasynthesis']"
