text,topic,probability,topic_2,probability_2
mimo controllable character video synthesis spatial decomposed modeling character video synthesis aims produce realistic videos animatable characters within lifelike scenes fundamental problem computer vision graphics community works typically require multiview captures percase training severely limits applicability modeling arbitrary characters short time recent methods break limitation via pretrained diffusion models struggle pose generality scene interaction end propose mimo novel framework synthesize character videos controllable attributes ie character motion scene provided simple user inputs also simultaneously achieve advanced scalability arbitrary characters generality novel motions applicability interactive realworld scenes unified framework core idea encode video compact spatial codes considering inherent nature video occurrence concretely lift frame pixels using monocular depth estimators decompose video clip three spatial components ie main human underlying scene floating occlusion hierarchical layers based depth components encoded canonical identity code structured motion code full scene code utilized control signals synthesis process design spatial decomposed modeling enables flexible user control complex motion expression well synthesis scene interactions experimental results demonstrate effectiveness robustness proposed method,-1,0.0,-1,0.0
multisentence video grounding long video generation video generation witnessed great success recently application generating long videos still remains challenging due difficulty maintaining temporal consistency generated videos high memory cost generation tackle problems paper propose brave new idea multisentence video grounding long video generation connecting massive video moment retrieval video generation task first time providing new paradigm long video generation method work summarized three steps design sequential scene text prompts queries video grounding utilizing massive video moment retrieval search video moment segments meet text requirements video database ii based source frames retrieved video moment segments adopt video editing methods create new video content preserving temporal consistency retrieved video since editing conducted segment segment even frame frame largely reduces memory cost iii also attempt video morphing personalized generation methods improve subject consistency long video generation providing ablation experimental results subtasks long video generation approach seamlessly extends development imagevideo editing video morphing personalized generation video grounding long video generation offering effective solutions generating long videos low memory cost,-1,0.0,-1,0.0
image free stepping stone texttovideo generation texttovideo generation trailed behind texttoimage generation terms quality diversity primarily due inherent complexities spatiotemporal modeling limited availability videotext datasets recent texttovideo diffusion models employ image intermediate step significantly enhancing overall performance incurring high training costs paper present novel video diffusion inference pipeline leverage advanced image techniques enhance pretrained texttovideo diffusion models requires additional training instead vanilla texttovideo inference pipeline consists two stages anchor image synthesis anchor imageaugmented texttovideo synthesis correspondingly simple yet effective generationselection strategy employed achieve visuallyrealistic semanticallyfaithful anchor image innovative noiseinvariant video score distillation sampling nivsds developed animate image dynamic video distilling motion knowledge video diffusion models followed video regeneration process refine video extensive experiments show proposed method produces videos higher visual realism textual fidelity furthermore also supports seamlessly integrated existing imagetovideo diffusion models thereby improving overall video quality,11,1.0,11,1.0
exvideo extending video diffusion models via parameterefficient posttuning recently advancements video synthesis attracted significant attention video synthesis models animatediff stable video diffusion demonstrated practical applicability diffusion models creating dynamic visual content emergence sora spotlighted potential video generation technologies nonetheless extension video lengths constrained limitations computational resources existing video synthesis models generate short video clips paper propose novel posttuning methodology video synthesis models called exvideo approach designed enhance capability current video synthesis models allowing produce content extended temporal durations incurring lower training expenditures particular design extension strategies across common temporal model architectures respectively including convolution temporal attention positional embedding evaluate efficacy proposed posttuning approach conduct extension training stable video diffusion model approach augments models capacity generate original number frames requiring gpu hours training dataset comprising videos importantly substantial increase video length doesnt compromise models innate generalization capabilities model showcases advantages generating videos diverse styles resolutions release source code enhanced model publicly,-1,0.0,-1,0.0
turns im real towards robust detection aigenerated videos impressive achievements generative models creating highquality videos raised concerns digital integrity privacy vulnerabilities recent works combat deepfakes videos developed detectors highly accurate identifying gangenerated samples however robustness detectors diffusiongenerated videos generated video creation tools eg sora openai runway pika etc still unexplored paper propose novel framework detecting videos synthesized multiple stateoftheart sota generative models stable video diffusion find sota methods detecting diffusiongenerated images lack robustness identifying diffusiongenerated videos analysis reveals effectiveness detectors diminishes applied outofdomain videos primarily struggle track temporal features dynamic variations frames address abovementioned challenge collect new benchmark video dataset diffusiongenerated videos using sota video creation tools extract representation within explicit knowledge diffusion model video frames train detector cnn lstm architecture evaluation shows framework well capture temporal features frames achieves detection accuracy indomain videos improves accuracy outdomain videos points,4,1.0,4,1.0
create anything multiview video diffusion models present method creating dynamic scenes monocular video leverages multiview video diffusion model trained diverse combination datasets enable novel view synthesis specified camera poses timestamps combined novel sampling approach model transform single monocular video multiview video enabling robust reconstruction via optimization deformable gaussian representation demonstrate competitive performance novel view synthesis dynamic scene reconstruction benchmarks highlight creative capabilities scene generation real generated videos see project page results interactive demos,1,1.0,1,1.0
cono consistency noise injection tuningfree long video diffusion tuningfree long video diffusion proposed generate extendedduration videos enriched content reusing knowledge pretrained short video diffusion model without retraining however works overlook finegrained longterm video consistency modeling resulting limited scene consistency ie unreasonable object background transitions especially multiple text inputs mitigate propose consistency noise injection dubbed cono introduces lookback mechanism enhance finegrained scene transition different video clips designs longterm consistency regularization eliminate content shifts extending video contents noise prediction particular lookback mechanism breaks noise scheduling process three essential parts one internal noise prediction part injected two videoextending parts intending achieve finegrained transition two video clips longterm consistency regularization focuses explicitly minimizing pixelwise distance predicted noises extended video clip original one thereby preventing abrupt scene transitions extensive experiments shown effectiveness strategies performing longvideo generation single multitext prompt conditions project available,2,0.6860564220557998,2,0.6860564220557998
video diffusion models effective generators automatic generation recently attracted widespread attention recent methods greatly accelerated generation speed usually produce lessdetailed objects due limited model capacity data motivated recent advancements video diffusion models introduce leverages world simulation capacity pretrained video diffusion models facilitate generation fully unleash potential video diffusion perceive world introduce geometrical consistency prior extend video diffusion model multiview consistent generator benefiting stateoftheart video diffusion model could finetuned generate orbit frames surrounding object given single image tailored reconstruction pipelines generate highquality meshes gaussians within minutes furthermore method extended scenelevel novel view synthesis achieving precise control camera path sparse input views extensive experiments demonstrate superior performance proposed approach especially terms generation quality multiview consistency code available,-1,0.0,-1,0.0
video worth thousand images exploring latest trends long video generation image may convey thousand words video composed hundreds thousands image frames tells intricate story despite significant progress multimodal large language models mllms generating extended videos remains formidable challenge writing openais sora current stateoftheart system still limited producing videos one minute length limitation stems complexity long video generation requires generative ai techniques approximating density functions essential aspects planning story development maintaining spatial temporal consistency present additional hurdles integrating generative ai divideandconquer approach could improve scalability longer videos offering greater control survey examine current landscape long video generation covering foundational techniques like gans diffusion models video generation strategies largescale training datasets quality metrics evaluating long videos future research areas address limitations existing video generation capabilities believe would serve comprehensive foundation offering extensive information guide future advancements research field long video generation,10,0.8000297836772766,10,0.8000297836772766
videostudio generating consistentcontent multiscene videos recent innovations breakthroughs diffusion models significantly expanded possibilities generating highquality videos given prompts existing works tackle singlescene scenario one video event occurring single background extending generate multiscene videos nevertheless trivial necessitates nicely manage logic preserving consistent visual appearance key content across video scenes paper propose novel framework namely videostudio consistentcontent multiscene video generation technically videostudio leverages large language models llm convert input prompt comprehensive multiscene script benefits logical knowledge learnt llm script scene includes prompt describing event foregroundbackground entities well camera movement videostudio identifies common entities throughout script asks llm detail entity resultant entity description fed texttoimage model generate reference image entity finally videostudio outputs multiscene video generating scene video via diffusion process takes reference images descriptive prompt event camera movement account diffusion model incorporates reference images condition alignment strengthen content consistency multiscene videos extensive experiments demonstrate videostudio outperforms sota video generation models terms visual quality content consistency user preference source code available urlhttpsgithubcomfuchenustcvideostudio,-1,0.0,-1,0.0
human motion generation generating realistic human videos remains challenging task effective methods currently relying human motion sequence control signal existing approaches often use existing motion extracted videos restricts applications specific motion types global scene matching propose novel approach generate human motion sequences conditioned scene image allowing diverse motion adapts different scenes approach utilizes diffusion model accepts scene image text prompt inputs producing motion sequence tailored scene train model collect largescale video dataset featuring singlehuman activities annotating video corresponding human motion target output experiments demonstrate method effectively predicts human motion aligns scene image projection furthermore show generated motion sequence improves human motion quality video synthesis tasks,18,1.0,18,1.0
synthesis dynamic scenes using video diffusion recent frontier computer vision task video generation consists generating timevarying representation scene generate dynamic scenes current methods explicitly model temporal dynamics jointly optimizing consistency across time views scene paper instead investigate whether necessary explicitly enforce multiview consistency time current approaches sufficient model generate representations timestep independently hence propose model leverages video diffusion generate videos first generating seed videos temporal dynamics independently generating representation timestep seed video evaluate two stateoftheart video generation methods find achieves comparable results despite explicitly modeling temporal dynamics ablate quality depends number views generated per frame observe degradation fewer views performance degradation remains minor results thus suggest temporal knowledge may necessary generate highquality dynamic scenes potentially enabling simpler generative algorithms task,1,1.0,1,1.0
spatialdreamer selfsupervised stereo video synthesis monocular input stereo video synthesis monocular input demanding task fields spatial computing virtual reality main challenges task lie insufficiency highquality paired stereo videos training difficulty maintaining spatiotemporal consistency frames existing methods primarily address issues directly applying novel view synthesis nvs techniques video facing limitations inability effectively represent dynamic scenes requirement large amounts training data paper introduce novel selfsupervised stereo video synthesis paradigm via video diffusion model termed spatialdreamer meets challenges headon firstly address stereo video data insufficiency propose depth based video generation module dvg employs forwardbackward rendering mechanism generate paired videos geometric temporal priors leveraging data generated dvg propose refinernet along selfsupervised synthetic framework designed facilitate efficient dedicated training importantly devise consistency control module consists metric stereo deviation strength temporal interaction learning module til geometric temporal consistency ensurance respectively evaluated proposed method various benchmark methods results showcasing superior performance,-1,0.0,-1,0.0
vidpanos generative panoramic videos casual panning videos panoramic image stitching provides unified wideangle view scene extends beyond cameras field view stitching frames panning video panoramic photograph wellunderstood problem stationary scenes objects moving still panorama capture scene present method synthesizing panoramic video casuallycaptured panning video original video captured wideangle camera pose panorama synthesis spacetime outpainting problem aim create full panoramic video length input video consistent completion spacetime volume requires powerful realistic prior video content motion adapt generative video models existing generative models however immediately extend panorama completion show instead apply video generation component panorama synthesis system demonstrate exploit strengths models minimizing limitations system create video panoramas range inthewild scenes including people vehicles flowing water well stationary background features,1,0.9396901793453583,1,0.9396901793453583
generative camera dolly extreme monocular dynamic novel view synthesis accurate reconstruction complex dynamic scenes single viewpoint continues challenging task computer vision current dynamic novel view synthesis methods typically require videos many different camera viewpoints necessitating careful recording setups significantly restricting utility wild well terms embodied ai applications paper propose textbfgcd controllable monocular dynamic view synthesis pipeline leverages largescale diffusion priors given video scene generate synchronous video chosen perspective conditioned set relative camera pose parameters model require depth input explicitly model scene geometry instead performing endtoend videotovideo translation order achieve goal efficiently despite trained synthetic multiview video data zeroshot realworld generalization experiments show promising results multiple domains including robotics object permanence driving environments believe framework potentially unlock powerful applications rich dynamic scene understanding perception robotics interactive video viewing experiences virtual reality,1,1.0,1,1.0
longtake video dataset temporally dense captions efficacy video generation models heavily depends quality training datasets previous video generation models trained short video clips recently increasing interest training long video generation models directly longer videos however lack highquality long videos impedes advancement long video generation promote research long video generation desire new dataset four key features essential training long video generation models long videos covering least seconds longtake videos without cuts large motion diverse contents temporally dense captions achieve introduce new pipeline selecting highquality longtake videos generating temporally dense captions specifically define set metrics quantitatively assess video quality including scene cuts dynamic degrees semanticlevel quality enabling us filter highquality longtake videos large amount source videos subsequently develop hierarchical video captioning pipeline annotate long videos temporallydense captions pipeline curate first longtake video dataset comprising million longtake videos covering seconds annotated temporally dense captions validate effectiveness finetuning video generation models generate long videos dynamic motions believe work significantly contribute future research long video generation,0,1.0,0,1.0
svsgan leveraging gans semantic video synthesis recent years growing interest semantic image synthesis sis use generative adversarial networks gans diffusion models field seen innovations implementation specialized loss functions tailored task diverging general approaches imagetoimage translation concept semantic video synthesis generation temporally coherent realistic sequences images semantic newly formalized paper existing methods already explored aspects field approaches rely generic loss functions designed videotovideo translation require additional data achieve temporal coherence paper introduce svsgan framework specifically designed svs featuring custom architecture loss functions approach includes triplepyramid generator utilizes spade blocks additionally employ unetbased network image discriminator performs semantic segmentation oasis loss combination tailored architecture objective engineering framework aims bridge existing gap sis svs outperforming current stateoftheart models datasets like cityscapes,-1,0.0,-1,0.0
finegained zeroshot video sampling incorporating temporal dimension pretrained image diffusion models video generation prevalent approach however method computationally demanding necessitates largescale video datasets critically heterogeneity image video datasets often results catastrophic forgetting image expertise recent attempts directly extract video snippets image diffusion models somewhat mitigated problems nevertheless methods generate brief video clips simple movements fail capture finegrained motion nongrid deformation paper propose novel zeroshot video sampling algorithm denoted capable directly sampling highquality video clips existing image synthesis methods stable diffusion without training optimization specifically utilizes dependency noise model temporal momentum attention ensure content consistency animation coherence respectively ability enables excel related tasks conditional contextspecialized video generation instructionguided video editing experimental results demonstrate achieves stateoftheart performance zeroshot video generation occasionally outperforming recent supervised methods homepage urlhttpsdensechengithubiozss,-1,0.0,-1,0.0
gaussianstolife textdriven animation gaussian splatting scenes stateoftheart novel view synthesis methods achieve impressive results multiview captures static scenes however reconstructed scenes still lack liveliness key component creating engaging experiences recently novel video diffusion models generate realistic videos complex motion enable animations images however naively used animate scenes lack multiview consistency breathe life static world propose method animating parts highquality scenes gaussian splatting representation key idea leverage powerful video diffusion models generative component model combine robust technique lift videos meaningful motion find contrast prior work enables realistic animations complex preexisting scenes enables animation large variety object classes related work mostly focused priorbased character animation single objects model enables creation consistent immersive experiences arbitrary scenes,1,1.0,1,1.0
driving scene synthesis freeform trajectories generative prior driving scene synthesis along freeform trajectories essential driving simulations enable closedloop evaluation endtoend driving policies existing methods excel novel view synthesis recorded trajectories face challenges novel trajectories due limited views driving videos vastness driving environments tackle challenge propose novel freeform driving view synthesis approach dubbed drivex leveraging video generative prior optimize model across variety trajectories concretely crafted inverse problem enables video diffusion model utilized prior manytrajectory optimization parametric model eg gaussian splatting seamlessly use generative prior iteratively conduct process optimization resulting model produce highfidelity virtual driving environments outside recorded trajectory enabling freeform trajectory driving simulation beyond real driving scenes drivex also utilized simulate virtual driving worlds aigenerated videos,16,1.0,16,1.0
highfidelity texttovideo synthesis compressed representations present texttovideo generation model capable producing realistic scenes textual descriptions building recent advancements openais sora explore latent diffusion model ldm architecture introduce video variational autoencoder vidvae vidvae compresses video data spatially temporally significantly reducing length visual tokens computational demands associated generating longsequence videos address computational costs propose divideandmerge strategy maintains temporal consistency across video segments diffusion transformer dit model incorporates spatial temporal selfattention layers enabling robust generalization across different timeframes aspect ratios devised data processing pipeline beginning collected highquality videotext pairs pipeline includes multiple steps clipping text detection motion estimation aesthetics scoring dense captioning based inhouse videollm model training vidvae dit models required approximately days respectively model supports video generation endtoend way demonstrates competitive performance stateoftheart models,-1,0.0,-1,0.0
progressive autoregressive video diffusion models current frontier video diffusion models demonstrated remarkable results generating highquality videos however generate short video clips normally around seconds frames due computation limitations training work show existing models naturally extended autoregressive video diffusion models without changing architectures key idea assign latent frames progressively increasing noise levels rather single noise level allows finegrained condition among latents large overlaps attention windows progressive video denoising allows models autoregressively generate video frames without quality degradation abrupt scene changes present stateoftheart results long video generation minute frames fps videos paper available httpsdesaixiegithubiopavdm,-1,0.0,-1,0.0
drivegenvlm realworld video generation vision language model based autonomous driving advancement autonomous driving technologies necessitates increasingly sophisticated methods understanding predicting realworld scenarios vision language models vlms emerging revolutionary tools significant potential influence autonomous driving paper propose drivegenvlm framework generate driving videos use vlms understand achieve employ video generation framework grounded denoising diffusion probabilistic models ddpm aimed predicting realworld video sequences explore adequacy generated videos use vlms employing pretrained model known efficient incontext learning egocentric videos eilev diffusion model trained waymo open dataset evaluated using frechet video distance fvd score ensure quality realism generated videos corresponding narrations provided eilev generated videos may beneficial autonomous driving domain narrations enhance traffic scene understanding aid navigation improve planning capabilities integration video generation vlms drivegenvlm framework represents significant step forward leveraging advanced ai models address complex challenges autonomous driving,16,1.0,16,1.0
raccoon versatile instructional video editing framework autogenerated narratives recent video generative models primarily rely carefully written text prompts specific tasks like inpainting style editing require laborintensive textual descriptions input videos hindering flexibility adapt personalraw videos user specifications paper proposes raccoon versatile userfriendly videotoparagraphtovideo generative framework supports multiple video editing capabilities removal addition modification unified pipeline raccoon consists two principal stages videotoparagraph paragraphtovideo stage automatically describe video scenes wellstructured natural language capturing holistic context focused object details subsequently stage users optionally refine descriptions guide video diffusion model enabling various modifications input video removing changing subjects andor adding new objects proposed approach stands methods several significant contributions raccoon suggests multigranular spatiotemporal pooling strategy generate wellstructured video descriptions capturing broad context object details without requiring complex human annotations simplifying precise video content editing based text users video generative model incorporates autogenerated narratives instructions enhance quality accuracy generated content raccoon also plans imagine new objects given video users simply prompt model receive detailed video editing plan complex video editing proposed framework demonstrates impressive versatile capabilities videotoparagraph generation video content editing incorporated sota video generative models enhancement,15,1.0,15,1.0
illumination histogram consistency metric quantitative assessment video sequences advances deep generative models greatly accelerate process video procession video enhancement synthesis learning spatiotemporal video models requires capture temporal dynamics scene addition visual appearance individual frames illumination consistency reflects variations illumination dynamic video sequences play vital role video processing unfortunately date wellaccepted quantitative metric proposed video illumination consistency evaluation paper propose illumination histogram consistency ihc metric quantitatively automatically evaluate illumination consistency video sequences ihc measures illumination variation video sequence based illumination histogram discrepancies across frames video sequence specifically given video sequence first estimate illumination map individual frame using retinex model using illumination maps mean illumination histogram video sequence computed mean operation across frames next compute illumination histogram discrepancy individual frame mean illumination histogram sum illumination histogram discrepancies represent illumination variations video sequence finally obtain ihc score illumination histogram discrepancies via normalization subtraction operations experiments conducted illustrate performance proposed ihc metric capability measure illumination variations video sequences source code available urlhttpsgithubcomlongchencvihcmetric,-1,0.0,-1,0.0
dynamic content generation multiframe multiview consistency present stable video latent video diffusion model multiframe multiview consistent dynamic content generation unlike previous methods rely separately trained generative models video generation novel view synthesis design unified diffusion model generate novel view videos dynamic objects specifically given monocular reference video generates novel views video frame temporally consistent use generated novel view videos optimize implicit representation dynamic nerf efficiently without need cumbersome sdsbased optimization used prior works train unified novel view video generation model curate dynamic object dataset existing objaverse dataset extensive experimental results multiple datasets user studies demonstrate stateoftheart performance novelview video synthesis well generation compared prior works,1,0.9297607770797686,1,0.9297607770797686
analyzing improving camera control video diffusion transformers numerous works recently integrated camera control foundational texttovideo models resulting camera control often imprecise video generation quality suffers work analyze camera motion first principles perspective uncovering insights enable precise camera manipulation without compromising synthesis quality first determine motion induced camera movements videos lowfrequency nature motivates us adjust train test pose conditioning schedules accelerating training convergence improving visual motion quality probing representations unconditional video diffusion transformer observe implicitly perform camera pose estimation hood subportion layers contain camera information suggested us limit injection camera conditioning subset architecture prevent interference video features leading reduction training parameters improved training speed higher visual quality finally complement typical dataset camera control learning curated dataset diverse dynamic videos stationary cameras helps model distinguish camera scene motion improves dynamics generated poseconditioned videos compound findings design advanced camera control architecture new stateoftheart model generative video modeling camera control,-1,0.0,-1,0.0
redefining temporal modeling video diffusion vectorized timestep approach diffusion models revolutionized image generation extension video generation shown promise however current video diffusion modelsvdms rely scalar timestep variable applied clip level limits ability model complex temporal dependencies needed various tasks like imagetovideo generation address limitation propose frameaware video diffusion modelfvdm introduces novel vectorized timestep variablevtv unlike conventional vdms approach allows frame follow independent noise schedule enhancing models capacity capture finegrained temporal dependencies fvdms flexibility demonstrated across multiple tasks including standard video generation imagetovideo generation video interpolation long video synthesis diverse set vtv configurations achieve superior quality generated videos overcoming challenges catastrophic forgetting finetuning limited generalizability zeroshot methodsour empirical evaluations show fvdm outperforms stateoftheart methods video generation quality also excelling extended tasks addressing fundamental shortcomings existing vdms fvdm sets new paradigm video synthesis offering robust framework significant implications generative modeling multimedia applications,11,0.9235240508025361,11,0.9235240508025361
nvssolver video diffusion model zeroshot novel view synthesizer harnessing potent generative capabilities pretrained large video diffusion models propose nvssolver new novel view synthesis nvs paradigm operates textitwithout need training nvssolver adaptively modulates diffusion sampling process given views enable creation remarkable visual experiences single multiple views static scenes monocular videos dynamic scenes specifically built upon theoretical modeling iteratively modulate score function given scene priors represented warped input views control video diffusion process moreover theoretically exploring boundary estimation error achieve modulation adaptive fashion according view pose number diffusion steps extensive evaluations static dynamic scenes substantiate significant superiority nvssolver stateoftheart methods quantitatively qualitatively textit source code,11,0.9321277318126886,11,0.9321277318126886
zeroshot scene texturing video diffusion models meshes widely used computer vision graphics efficiency animation minimal memory use playing crucial role movies games ar vr however creating temporally consistent realistic textures mesh sequences remains laborintensive professional artists hand video diffusion models excel textdriven video generation often lack geometry awareness struggle achieving multiview consistent texturing meshes work present zeroshot approach integrates inherent geometry knowledge mesh sequences expressiveness video diffusion models produce multiview temporally consistent textures given untextured mesh sequence text prompt inputs method enhances multiview consistency synchronizing diffusion process across different views latent aggregation uv space ensure temporal consistency leverage prior knowledge conditional video generation model texture synthesis however straightforwardly combining video diffusion model uv texture aggregation leads blurry results analyze underlying causes propose simple yet effective modification ddim sampling process address issue additionally introduce reference latent texture strengthen correlation frames denoising process best knowledge first method specifically designed scene texturing extensive experiments demonstrate superiority producing multiview multiframe consistent videos based untextured mesh sequences,-1,0.0,-1,0.0
