title,abstract,published,authors,url
MIMO: Controllable Character Video Synthesis with Spatial Decomposed Modeling,"Character video synthesis aims to produce realistic videos of animatable
characters within lifelike scenes. As a fundamental problem in the computer
vision and graphics community, 3D works typically require multi-view captures
for per-case training, which severely limits their applicability of modeling
arbitrary characters in a short time. Recent 2D methods break this limitation
via pre-trained diffusion models, but they struggle for pose generality and
scene interaction. To this end, we propose MIMO, a novel framework which can
not only synthesize character videos with controllable attributes (i.e.,
character, motion and scene) provided by simple user inputs, but also
simultaneously achieve advanced scalability to arbitrary characters, generality
to novel 3D motions, and applicability to interactive real-world scenes in a
unified framework. The core idea is to encode the 2D video to compact spatial
codes, considering the inherent 3D nature of video occurrence. Concretely, we
lift the 2D frame pixels into 3D using monocular depth estimators, and
decompose the video clip to three spatial components (i.e., main human,
underlying scene, and floating occlusion) in hierarchical layers based on the
3D depth. These components are further encoded to canonical identity code,
structured motion code and full scene code, which are utilized as control
signals of synthesis process. The design of spatial decomposed modeling enables
flexible user control, complex motion expression, as well as 3D-aware synthesis
for scene interactions. Experimental results demonstrate effectiveness and
robustness of the proposed method.",2024-09-24 15:00:07+00:00,"['Yifang Men', 'Yuan Yao', 'Miaomiao Cui', 'Liefeng Bo']",http://arxiv.org/abs/2409.16160v1
Multi-sentence Video Grounding for Long Video Generation,"Video generation has witnessed great success recently, but their application
in generating long videos still remains challenging due to the difficulty in
maintaining the temporal consistency of generated videos and the high memory
cost during generation. To tackle the problems, in this paper, we propose a
brave and new idea of Multi-sentence Video Grounding for Long Video Generation,
connecting the massive video moment retrieval to the video generation task for
the first time, providing a new paradigm for long video generation. The method
of our work can be summarized as three steps: (i) We design sequential scene
text prompts as the queries for video grounding, utilizing the massive video
moment retrieval to search for video moment segments that meet the text
requirements in the video database. (ii) Based on the source frames of
retrieved video moment segments, we adopt video editing methods to create new
video content while preserving the temporal consistency of the retrieved video.
Since the editing can be conducted segment by segment, and even frame by frame,
it largely reduces the memory cost. (iii) We also attempt video morphing and
personalized generation methods to improve the subject consistency of long
video generation, providing ablation experimental results for the subtasks of
long video generation. Our approach seamlessly extends the development in
image/video editing, video morphing and personalized generation, and video
grounding to the long video generation, offering effective solutions for
generating long videos at low memory cost.",2024-07-18 07:05:05+00:00,"['Wei Feng', 'Xin Wang', 'Hong Chen', 'Zeyang Zhang', 'Wenwu Zhu']",http://arxiv.org/abs/2407.13219v1
I4VGen: Image as Free Stepping Stone for Text-to-Video Generation,"Text-to-video generation has trailed behind text-to-image generation in terms
of quality and diversity, primarily due to the inherent complexities of
spatio-temporal modeling and the limited availability of video-text datasets.
Recent text-to-video diffusion models employ the image as an intermediate step,
significantly enhancing overall performance but incurring high training costs.
In this paper, we present I4VGen, a novel video diffusion inference pipeline to
leverage advanced image techniques to enhance pre-trained text-to-video
diffusion models, which requires no additional training. Instead of the vanilla
text-to-video inference pipeline, I4VGen consists of two stages: anchor image
synthesis and anchor image-augmented text-to-video synthesis. Correspondingly,
a simple yet effective generation-selection strategy is employed to achieve
visually-realistic and semantically-faithful anchor image, and an innovative
noise-invariant video score distillation sampling (NI-VSDS) is developed to
animate the image to a dynamic video by distilling motion knowledge from video
diffusion models, followed by a video regeneration process to refine the video.
Extensive experiments show that the proposed method produces videos with higher
visual realism and textual fidelity. Furthermore, I4VGen also supports being
seamlessly integrated into existing image-to-video diffusion models, thereby
improving overall video quality.",2024-06-04 11:48:44+00:00,"['Xiefan Guo', 'Jinlin Liu', 'Miaomiao Cui', 'Liefeng Bo', 'Di Huang']",http://arxiv.org/abs/2406.02230v2
ExVideo: Extending Video Diffusion Models via Parameter-Efficient Post-Tuning,"Recently, advancements in video synthesis have attracted significant
attention. Video synthesis models such as AnimateDiff and Stable Video
Diffusion have demonstrated the practical applicability of diffusion models in
creating dynamic visual content. The emergence of SORA has further spotlighted
the potential of video generation technologies. Nonetheless, the extension of
video lengths has been constrained by the limitations in computational
resources. Most existing video synthesis models can only generate short video
clips. In this paper, we propose a novel post-tuning methodology for video
synthesis models, called ExVideo. This approach is designed to enhance the
capability of current video synthesis models, allowing them to produce content
over extended temporal durations while incurring lower training expenditures.
In particular, we design extension strategies across common temporal model
architectures respectively, including 3D convolution, temporal attention, and
positional embedding. To evaluate the efficacy of our proposed post-tuning
approach, we conduct extension training on the Stable Video Diffusion model.
Our approach augments the model's capacity to generate up to $5\times$ its
original number of frames, requiring only 1.5k GPU hours of training on a
dataset comprising 40k videos. Importantly, the substantial increase in video
length doesn't compromise the model's innate generalization capabilities, and
the model showcases its advantages in generating videos of diverse styles and
resolutions. We will release the source code and the enhanced model publicly.",2024-06-20 09:18:54+00:00,"['Zhongjie Duan', 'Wenmeng Zhou', 'Cen Chen', 'Yaliang Li', 'Weining Qian']",http://arxiv.org/abs/2406.14130v1
Turns Out I'm Not Real: Towards Robust Detection of AI-Generated Videos,"The impressive achievements of generative models in creating high-quality
videos have raised concerns about digital integrity and privacy
vulnerabilities. Recent works to combat Deepfakes videos have developed
detectors that are highly accurate at identifying GAN-generated samples.
However, the robustness of these detectors on diffusion-generated videos
generated from video creation tools (e.g., SORA by OpenAI, Runway Gen-2, and
Pika, etc.) is still unexplored. In this paper, we propose a novel framework
for detecting videos synthesized from multiple state-of-the-art (SOTA)
generative models, such as Stable Video Diffusion. We find that the SOTA
methods for detecting diffusion-generated images lack robustness in identifying
diffusion-generated videos. Our analysis reveals that the effectiveness of
these detectors diminishes when applied to out-of-domain videos, primarily
because they struggle to track the temporal features and dynamic variations
between frames. To address the above-mentioned challenge, we collect a new
benchmark video dataset for diffusion-generated videos using SOTA video
creation tools. We extract representation within explicit knowledge from the
diffusion model for video frames and train our detector with a CNN + LSTM
architecture. The evaluation shows that our framework can well capture the
temporal features between frames, achieves 93.7% detection accuracy for
in-domain videos, and improves the accuracy of out-domain videos by up to 16
points.",2024-06-13 21:52:49+00:00,"['Qingyuan Liu', 'Pengyuan Shi', 'Yun-Yun Tsai', 'Chengzhi Mao', 'Junfeng Yang']",http://arxiv.org/abs/2406.09601v1
CAT4D: Create Anything in 4D with Multi-View Video Diffusion Models,"We present CAT4D, a method for creating 4D (dynamic 3D) scenes from monocular
video. CAT4D leverages a multi-view video diffusion model trained on a diverse
combination of datasets to enable novel view synthesis at any specified camera
poses and timestamps. Combined with a novel sampling approach, this model can
transform a single monocular video into a multi-view video, enabling robust 4D
reconstruction via optimization of a deformable 3D Gaussian representation. We
demonstrate competitive performance on novel view synthesis and dynamic scene
reconstruction benchmarks, and highlight the creative capabilities for 4D scene
generation from real or generated videos. See our project page for results and
interactive demos: https://cat-4d.github.io/.",2024-11-27 18:57:16+00:00,"['Rundi Wu', 'Ruiqi Gao', 'Ben Poole', 'Alex Trevithick', 'Changxi Zheng', 'Jonathan T. Barron', 'Aleksander Holynski']",http://arxiv.org/abs/2411.18613v2
CoNo: Consistency Noise Injection for Tuning-free Long Video Diffusion,"Tuning-free long video diffusion has been proposed to generate
extended-duration videos with enriched content by reusing the knowledge from
pre-trained short video diffusion model without retraining. However, most works
overlook the fine-grained long-term video consistency modeling, resulting in
limited scene consistency (i.e., unreasonable object or background
transitions), especially with multiple text inputs. To mitigate this, we
propose the Consistency Noise Injection, dubbed CoNo, which introduces the
""look-back"" mechanism to enhance the fine-grained scene transition between
different video clips, and designs the long-term consistency regularization to
eliminate the content shifts when extending video contents through noise
prediction. In particular, the ""look-back"" mechanism breaks the noise
scheduling process into three essential parts, where one internal noise
prediction part is injected into two video-extending parts, intending to
achieve a fine-grained transition between two video clips. The long-term
consistency regularization focuses on explicitly minimizing the pixel-wise
distance between the predicted noises of the extended video clip and the
original one, thereby preventing abrupt scene transitions. Extensive
experiments have shown the effectiveness of the above strategies by performing
long-video generation under both single- and multi-text prompt conditions. The
project has been available in https://wxrui182.github.io/CoNo.github.io/.",2024-06-07 16:56:42+00:00,"['Xingrui Wang', 'Xin Li', 'Zhibo Chen']",http://arxiv.org/abs/2406.05082v1
V3D: Video Diffusion Models are Effective 3D Generators,"Automatic 3D generation has recently attracted widespread attention. Recent
methods have greatly accelerated the generation speed, but usually produce
less-detailed objects due to limited model capacity or 3D data. Motivated by
recent advancements in video diffusion models, we introduce V3D, which
leverages the world simulation capacity of pre-trained video diffusion models
to facilitate 3D generation. To fully unleash the potential of video diffusion
to perceive the 3D world, we further introduce geometrical consistency prior
and extend the video diffusion model to a multi-view consistent 3D generator.
Benefiting from this, the state-of-the-art video diffusion model could be
fine-tuned to generate 360degree orbit frames surrounding an object given a
single image. With our tailored reconstruction pipelines, we can generate
high-quality meshes or 3D Gaussians within 3 minutes. Furthermore, our method
can be extended to scene-level novel view synthesis, achieving precise control
over the camera path with sparse input views. Extensive experiments demonstrate
the superior performance of the proposed approach, especially in terms of
generation quality and multi-view consistency. Our code is available at
https://github.com/heheyas/V3D",2024-03-11 14:03:36+00:00,"['Zilong Chen', 'Yikai Wang', 'Feng Wang', 'Zhengyi Wang', 'Huaping Liu']",http://arxiv.org/abs/2403.06738v1
Video Is Worth a Thousand Images: Exploring the Latest Trends in Long Video Generation,"An image may convey a thousand words, but a video composed of hundreds or
thousands of image frames tells a more intricate story. Despite significant
progress in multimodal large language models (MLLMs), generating extended
videos remains a formidable challenge. As of this writing, OpenAI's Sora, the
current state-of-the-art system, is still limited to producing videos that are
up to one minute in length. This limitation stems from the complexity of long
video generation, which requires more than generative AI techniques for
approximating density functions essential aspects such as planning, story
development, and maintaining spatial and temporal consistency present
additional hurdles. Integrating generative AI with a divide-and-conquer
approach could improve scalability for longer videos while offering greater
control. In this survey, we examine the current landscape of long video
generation, covering foundational techniques like GANs and diffusion models,
video generation strategies, large-scale training datasets, quality metrics for
evaluating long videos, and future research areas to address the limitations of
the existing video generation capabilities. We believe it would serve as a
comprehensive foundation, offering extensive information to guide future
advancements and research in the field of long video generation.",2024-12-24 21:24:41+00:00,"['Faraz Waseem', 'Muhammad Shahzad']",http://arxiv.org/abs/2412.18688v1
VideoStudio: Generating Consistent-Content and Multi-Scene Videos,"The recent innovations and breakthroughs in diffusion models have
significantly expanded the possibilities of generating high-quality videos for
the given prompts. Most existing works tackle the single-scene scenario with
only one video event occurring in a single background. Extending to generate
multi-scene videos nevertheless is not trivial and necessitates to nicely
manage the logic in between while preserving the consistent visual appearance
of key content across video scenes. In this paper, we propose a novel
framework, namely VideoStudio, for consistent-content and multi-scene video
generation. Technically, VideoStudio leverages Large Language Models (LLM) to
convert the input prompt into comprehensive multi-scene script that benefits
from the logical knowledge learnt by LLM. The script for each scene includes a
prompt describing the event, the foreground/background entities, as well as
camera movement. VideoStudio identifies the common entities throughout the
script and asks LLM to detail each entity. The resultant entity description is
then fed into a text-to-image model to generate a reference image for each
entity. Finally, VideoStudio outputs a multi-scene video by generating each
scene video via a diffusion process that takes the reference images, the
descriptive prompt of the event and camera movement into account. The diffusion
model incorporates the reference images as the condition and alignment to
strengthen the content consistency of multi-scene videos. Extensive experiments
demonstrate that VideoStudio outperforms the SOTA video generation models in
terms of visual quality, content consistency, and user preference. Source code
is available at \url{https://github.com/FuchenUSTC/VideoStudio}.",2024-01-02 15:56:48+00:00,"['Fuchen Long', 'Zhaofan Qiu', 'Ting Yao', 'Tao Mei']",http://arxiv.org/abs/2401.01256v2
Move-in-2D: 2D-Conditioned Human Motion Generation,"Generating realistic human videos remains a challenging task, with the most
effective methods currently relying on a human motion sequence as a control
signal. Existing approaches often use existing motion extracted from other
videos, which restricts applications to specific motion types and global scene
matching. We propose Move-in-2D, a novel approach to generate human motion
sequences conditioned on a scene image, allowing for diverse motion that adapts
to different scenes. Our approach utilizes a diffusion model that accepts both
a scene image and text prompt as inputs, producing a motion sequence tailored
to the scene. To train this model, we collect a large-scale video dataset
featuring single-human activities, annotating each video with the corresponding
human motion as the target output. Experiments demonstrate that our method
effectively predicts human motion that aligns with the scene image after
projection. Furthermore, we show that the generated motion sequence improves
human motion quality in video synthesis tasks.",2024-12-17 18:58:07+00:00,"['Hsin-Ping Huang', 'Yang Zhou', 'Jui-Hsien Wang', 'Difan Liu', 'Feng Liu', 'Ming-Hsuan Yang', 'Zhan Xu']",http://arxiv.org/abs/2412.13185v1
Vid3D: Synthesis of Dynamic 3D Scenes using 2D Video Diffusion,"A recent frontier in computer vision has been the task of 3D video
generation, which consists of generating a time-varying 3D representation of a
scene. To generate dynamic 3D scenes, current methods explicitly model 3D
temporal dynamics by jointly optimizing for consistency across both time and
views of the scene. In this paper, we instead investigate whether it is
necessary to explicitly enforce multiview consistency over time, as current
approaches do, or if it is sufficient for a model to generate 3D
representations of each timestep independently. We hence propose a model,
Vid3D, that leverages 2D video diffusion to generate 3D videos by first
generating a 2D ""seed"" of the video's temporal dynamics and then independently
generating a 3D representation for each timestep in the seed video. We evaluate
Vid3D against two state-of-the-art 3D video generation methods and find that
Vid3D is achieves comparable results despite not explicitly modeling 3D
temporal dynamics. We further ablate how the quality of Vid3D depends on the
number of views generated per frame. While we observe some degradation with
fewer views, performance degradation remains minor. Our results thus suggest
that 3D temporal knowledge may not be necessary to generate high-quality
dynamic 3D scenes, potentially enabling simpler generative algorithms for this
task.",2024-06-17 04:09:04+00:00,"['Rishab Parthasarathy', 'Zachary Ankner', 'Aaron Gokaslan']",http://arxiv.org/abs/2406.11196v3
SpatialDreamer: Self-supervised Stereo Video Synthesis from Monocular Input,"Stereo video synthesis from a monocular input is a demanding task in the
fields of spatial computing and virtual reality. The main challenges of this
task lie on the insufficiency of high-quality paired stereo videos for training
and the difficulty of maintaining the spatio-temporal consistency between
frames. Existing methods primarily address these issues by directly applying
novel view synthesis (NVS) techniques to video, while facing limitations such
as the inability to effectively represent dynamic scenes and the requirement
for large amounts of training data. In this paper, we introduce a novel
self-supervised stereo video synthesis paradigm via a video diffusion model,
termed SpatialDreamer, which meets the challenges head-on. Firstly, to address
the stereo video data insufficiency, we propose a Depth based Video Generation
module DVG, which employs a forward-backward rendering mechanism to generate
paired videos with geometric and temporal priors. Leveraging data generated by
DVG, we propose RefinerNet along with a self-supervised synthetic framework
designed to facilitate efficient and dedicated training. More importantly, we
devise a consistency control module, which consists of a metric of stereo
deviation strength and a Temporal Interaction Learning module TIL for geometric
and temporal consistency ensurance respectively. We evaluated the proposed
method against various benchmark methods, with the results showcasing its
superior performance.",2024-11-18 15:12:59+00:00,"['Zhen Lv', 'Yangqi Long', 'Congzhentao Huang', 'Cao Li', 'Chengfei Lv', 'Hao Ren', 'Dian Zheng']",http://arxiv.org/abs/2411.11934v1
VidPanos: Generative Panoramic Videos from Casual Panning Videos,"Panoramic image stitching provides a unified, wide-angle view of a scene that
extends beyond the camera's field of view. Stitching frames of a panning video
into a panoramic photograph is a well-understood problem for stationary scenes,
but when objects are moving, a still panorama cannot capture the scene. We
present a method for synthesizing a panoramic video from a casually-captured
panning video, as if the original video were captured with a wide-angle camera.
We pose panorama synthesis as a space-time outpainting problem, where we aim to
create a full panoramic video of the same length as the input video. Consistent
completion of the space-time volume requires a powerful, realistic prior over
video content and motion, for which we adapt generative video models. Existing
generative models do not, however, immediately extend to panorama completion,
as we show. We instead apply video generation as a component of our panorama
synthesis system, and demonstrate how to exploit the strengths of the models
while minimizing their limitations. Our system can create video panoramas for a
range of in-the-wild scenes including people, vehicles, and flowing water, as
well as stationary background features.",2024-10-17 17:53:24+00:00,"['Jingwei Ma', 'Erika Lu', 'Roni Paiss', 'Shiran Zada', 'Aleksander Holynski', 'Tali Dekel', 'Brian Curless', 'Michael Rubinstein', 'Forrester Cole']",http://arxiv.org/abs/2410.13832v2
Generative Camera Dolly: Extreme Monocular Dynamic Novel View Synthesis,"Accurate reconstruction of complex dynamic scenes from just a single
viewpoint continues to be a challenging task in computer vision. Current
dynamic novel view synthesis methods typically require videos from many
different camera viewpoints, necessitating careful recording setups, and
significantly restricting their utility in the wild as well as in terms of
embodied AI applications. In this paper, we propose $\textbf{GCD}$, a
controllable monocular dynamic view synthesis pipeline that leverages
large-scale diffusion priors to, given a video of any scene, generate a
synchronous video from any other chosen perspective, conditioned on a set of
relative camera pose parameters. Our model does not require depth as input, and
does not explicitly model 3D scene geometry, instead performing end-to-end
video-to-video translation in order to achieve its goal efficiently. Despite
being trained on synthetic multi-view video data only, zero-shot real-world
generalization experiments show promising results in multiple domains,
including robotics, object permanence, and driving environments. We believe our
framework can potentially unlock powerful applications in rich dynamic scene
understanding, perception for robotics, and interactive 3D video viewing
experiences for virtual reality.",2024-05-23 17:59:52+00:00,"['Basile Van Hoorick', 'Rundi Wu', 'Ege Ozguroglu', 'Kyle Sargent', 'Ruoshi Liu', 'Pavel Tokmakov', 'Achal Dave', 'Changxi Zheng', 'Carl Vondrick']",http://arxiv.org/abs/2405.14868v2
